COUNTRYID,COUNTRYNAME,THREEBED,ONENIGHT,WISHMORE,FREQYEAR,VIBRATOR,FIRSTSEX
AT,Austria,18,56,38,105,33,16.5
BE,Belgium,13,40,38,106,24,17.2
BG,Bulgaria,16,54,33,127,10,16.9
HR,Croatia,12,50,33,134,17,17.3
CZ,Czech Republic,20,31,36,120,29,17.2
DK,Denmark,16,63,48,98,29,16.1
FI,Finland,19,64,45,102,35,16.6
FR,France,15,42,36,120,14,17.2
DE,Germany,12,36,36,104,20,15.9
GR,Greece,17,54,35,138,13,17.5
IE,Ireland,17,62,40,97,30,17.3
IT,Italy,16,28,35,106,13,18.1
NL,Netherlands,14,40,37,115,29,16.6
NO,Norway,23,70,53,98,44,16.5
PL,Poland,10,35,37,115,11,17.7
PT,Portugal,12,37,19,108,10,16.9
RS,Serbia et Montenegro,13,53,27,128,9,17.6
SK,Slovakia,11,37,37,106,17,17.8
ES,Spain,8,38,29,105,14,17.5
SE,Sweden,20,64,52,92,38,16.1
CH,Switzerland,17,52,38,104,30,17.3
GB,United Kingdom,17,52,37,118,44,16.6
